ID;Company Name;Trade Name;Address Status;Address 1;Address 2;Postal Code;City;State/Province;Country;Company Registration Number;Company Registration Type Code;Country Phone Access Code;CEO Name;Business Category Code 1;Business Category Code 1 - Description;Founding Year;Yearly Revenue Local Currency;Yearly Revenue in U.S. Dollars;Employees On Site;Employees Total;Import/Export Code;Import/Export Code - Description;Business Legal Type;Business Legal Type - Description;Location Type - Description;Subsidiary Code - Description;Local Headquarter ID Number;Local Headquarter Company Name;Local Headquarter Street Address;Local Headquarter City;Local Headquarter State/Province;Local Headquarter Country Name;Local Headquarter Postal Code;National Headquarter ID Number;National Headquarter Company Name;National Headquarter Street Address;National Headquarter City Name;National Headquarter State/Province Name;National Headquarter Postal Code;Global Headquarter ID Number;Global Headquarter Company Name;Global Headquarter Street Address;Global Headquarter City Name;Global Headquarter State/Province;Global Headquarter Country Name;Global Headquarter Postal Code;Number of Companies in Group;Group Code;Group Linkage Code
454600640;Bouygues Telecom;NOMAD 6SENS;N;37-39;37 Rue Boissiere;75116;Paris;Paris;France;3,97481E+13;00017;0033;Edward Bouygues;4813;Telephone Communications, Except Radiotelephone;1994;7715000000;8385981265;6829;6829;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;263284226;BOUYGUES;32 AVENUE HOCHE;PARIS;ILE-DE-FRANCE;FRANCE;75008;263284226;BOUYGUES;32 AVENUE HOCHE;PARIS;ILE-DE-FRANCE;75008;263284226;BOUYGUES;32 AVENUE HOCHE;PARIS;ILE-DE-FRANCE;FRANCE;75008;4549;28692790;2
285968223;Ste Congolaise De Transports Maritimes Socotram;SOCOTRAM;N;;;75008;Paris;Paris;France;3,78398E+13;00017;0000;Jean-Bernard GUIROUNGUI;4489;Water Transportation of Passengers, Not Elsewhere Classified;1990;0;6666379900;9;9;G;Not available or none;120;;;;;;;;;;;;;;;;;;;;;;;;0;;0
264326371;Dassault Aviation;;N;Marcel Dassault;9 Rond-point Des Champs Elysees-marcel;75008;Paris;Paris;France;7,12042E+13;00017;0033;Eric Trappier;3721;Aircraft;1971;6305411000;6548730505;8954;8954;H;Exports;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;346703973;GROUPE INDUSTRIEL MARCEL DASSAULT;MARCEL DASSAULT;PARIS;ILE-DE-FRANCE;FRANCE;75008;341347505;ROND POINT IMMOBILIER;9 RPT DES CHAMPS ELYSEES-MARCEL DASSAU;PARIS 8;ILE-DE-FRANCE;75008;341347505;ROND POINT IMMOBILIER;9 RPT DES CHAMPS ELYSEES-MARCEL DASSAU;PARIS 8;ILE-DE-FRANCE;FRANCE;75008;207;34138180;3
263728531;L'oreal;"Kerastase; Mizani; L'Oreal Professionnel Paris; Essie Professionnel; Baxter of California;";N;14 Rue Royale;;75008;Paris;Paris;France;6,32012E+13;00017;0033;Jean-paul Agon;6794;Patent Owners and Lessors;1963;5983000000;6503347493;100;8219;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;263728531;L'OREAL;14 RUE ROYALE;PARIS;ILE-DE-FRANCE;FRANCE;75008;263728531;L'OREAL;14 RUE ROYALE;PARIS;ILE-DE-FRANCE;75008;263728531;L'OREAL;14 RUE ROYALE;PARIS;ILE-DE-FRANCE;FRANCE;75008;1798;14417095;1
257174754;Cfm International;;N;2 Boulevard Du General Martial Valin;;75015;Paris;Paris;France;3,02528E+13;00017;0033;Gael Meheust;5084;Industrial Machinery and Equipment;1974;5733143000;6231760180;0;5;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;257174754;CFM INTERNATIONAL;2 BOULEVARD DU GENERAL MARTIAL VALIN;PARIS;ILE-DE-FRANCE;FRANCE;75015;257174754;CFM INTERNATIONAL;2 BOULEVARD DU GENERAL MARTIAL VALIN;PARIS;ILE-DE-FRANCE;75015;257174754;CFM INTERNATIONAL;2 BOULEVARD DU GENERAL MARTIAL VALIN;PARIS;ILE-DE-FRANCE;FRANCE;75015;4;28940015;1
264196634;Hermes Sellier;HERMES;N;24 Rue Du Faubourg Saint-honore;;75008;Paris;Paris;France;6,9652E+13;00017;0033;Axel Dumas;3199;Leather Goods, Not Elsewhere Classified;1976;5170334740;5369852787;500;2000;H;Exports;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;263294106;HERMES INTERNATIONAL;24 RUE DU FAUBOURG SAINT HONORE;PARIS 8;ILE-DE-FRANCE;FRANCE;75008;257638794;H51;10 PLACE DES ETATS-UNIS;PARIS;PARIS;75016;257638794;H51;10 PLACE DES ETATS-UNIS;PARIS;PARIS;FRANCE;75016;384;6611373;3
263612378;Christian Dior Couture;;N;30 Avenue Montaigne;;75008;Paris;Paris;France;6,12036E+13;00017;0033;Delphine Arnault;5699;Miscellaneous Apparel and Accessory Stores;1961;4594799000;4994413264;1;2000;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;264763347;LVMH MOET HENNESSY LOUIS VUITTON;22 AVENUE MONTAIGNE;PARIS;ILE-DE-FRANCE;FRANCE;75008;264763347;LVMH MOET HENNESSY LOUIS VUITTON;22 AVENUE MONTAIGNE;PARIS;ILE-DE-FRANCE;75008;264763347;LVMH MOET HENNESSY LOUIS VUITTON;22 AVENUE MONTAIGNE;PARIS;ILE-DE-FRANCE;FRANCE;75008;4846;11220549;2
285953207;Colas France;;N;1 Rue Du Colonel Pierre Avia;;75015;Paris;Paris;France;3,29339E+13;00017;0033;Thierry Meline;1611;Highway and Street Construction, Except Elevated Highways;1984;4228228653;4595961927;20;18468;H;Exports;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;263171057;COLAS SA;1 RUE DU COLONEL PIERRE AVIA;PARIS;ILE-DE-FRANCE;FRANCE;75015;263284226;BOUYGUES;32 AVENUE HOCHE;PARIS;ILE-DE-FRANCE;75008;263284226;BOUYGUES;32 AVENUE HOCHE;PARIS;ILE-DE-FRANCE;FRANCE;75008;4549;28695508;3
257546039;Naval Group;;N;40-42;40 Rue Du Docteur Finlay;75015;Paris;Paris;France;4,41134E+13;00017;0033;Pierre Eric Dominique Alain Pommellet;3731;Ship Building and Repairing;2002;4223148000;4590439405;500;16159;H;Exports;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;256704126;AGENCE DES PARTICIPATIONS DE L'ETAT;TELEDOC 228;PARIS 12;ILE-DE-FRANCE;FRANCE;75012;256704126;AGENCE DES PARTICIPATIONS DE L'ETAT;TELEDOC 228;PARIS 12;ILE-DE-FRANCE;75012;256704126;AGENCE DES PARTICIPATIONS DE L'ETAT;TELEDOC 228;PARIS 12;ILE-DE-FRANCE;FRANCE;75012;30919;21164014;2
262453911;Le Castel Consulting;CHEZ ASTER ASSOCIES;N;5 Avenue Victor Hugo;;75116;Paris;Paris;France;8,79991E+13;00017;0000;Luc Pevere;8742;Management Consulting Services;2019;30000;4500000000;5;1;G;Not available or none;3;Corporation;;;;;;;;;;;;;;;;;;;;;;;0;0;0
326190956;Free;LINX;N;8 Rue de la Ville L Eveque;;75008;Paris;Paris;France;4,21939E+13;00017;0033;Nicolas Hubert Marie Thomas;4813;Telephone Communications, Except Radiotelephone;1999;3382424000;3676596798;100;224;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;325378159;ILIAD;16 RUE DE LA VILLE L'EVEQUE;PARIS;ILE-DE-FRANCE;FRANCE;75008;325378159;ILIAD;16 RUE DE LA VILLE L'EVEQUE;PARIS;ILE-DE-FRANCE;75008;325378159;ILIAD;16 RUE DE LA VILLE L'EVEQUE;PARIS;ILE-DE-FRANCE;FRANCE;75008;499;4783699;2
258303025;Action France;;N;11 Rue de Cambrai;;75019;Paris;Paris;France;7,53308E+13;00017;0033;Wouter De Backer;5399;Miscellaneous General Merchandise Stores;2012;3521483805;3657374344;250;10000;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;320049130;Action Holding B.V.;Perenmarkt 15;Zwaagdijk;NOORD-HOLLAND;NETHERLANDS;1681 PG;258303025;ACTION FRANCE;11 RUE DE CAMBRAI;PARIS;PARIS;75019;247983537;3I GROUP PLC;16 Palace Street;LONDON;LONDON;ENGLAND;SW1E 5JD;1771;22281565;5
277027594;Saipol;DIESTER;N;nov-13;11 Rue de Monceau;75008;Paris;Paris;France;3,88021E+13;00017;0033;Emmanuel Manichon;2079;Shortening, Table Oils, Margarine, and Other Edible Fats and Oils, Not Elsewhere Classified;1992;3328732299;3618235476;632;632;H;Exports;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;286386143;AVRIL POLE VEGETAL;nov-13;PARIS 8;ILE-DE-FRANCE;FRANCE;75008;285964959;ASSOCIATION F I D O P;11 13;PARIS;PARIS;75008;285964959;ASSOCIATION F I D O P;11 13;PARIS;PARIS;FRANCE;75008;209;30521148;5
261895187;Itm Alimentaire Centre Est;;N;24 Rue Auguste Chabrieres;;75015;Paris;Paris;France;4,52534E+13;00017;0033;Alexandre Loizeau;5199;Nondurable Goods, Not Elsewhere Classified;2004;3315287481;3603621349;58;58;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;285952161;ITM ALIMENTAIRE INTERNATIONAL;24 RUE AUGUSTE CHABRIERES;PARIS;ILE-DE-FRANCE;FRANCE;75015;258388241;LES MOUSQUETAIRES;24 RUE AUGUSTE CHABRIERES;PARIS;ILE-DE-FRANCE;75015;258388241;LES MOUSQUETAIRES;24 RUE AUGUSTE CHABRIERES;PARIS;ILE-DE-FRANCE;FRANCE;75015;759;5473732;5
285973355;Grdf;;N;Tsa 60800;6 Rue Condorcet;75009;Paris;Paris;France;4,44787E+13;00017;0033;Xavier Perret;4922;Natural Gas Transmission;2002;3251728000;3534534036;11332;11332;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;263125982;ENGIE;1 PLACE SAMUEL DE CHAMPLAIN;COURBEVOIE;ILE-DE-FRANCE;FRANCE;92400;263125982;ENGIE;1 PLACE SAMUEL DE CHAMPLAIN;COURBEVOIE;ILE-DE-FRANCE;92400;263125982;ENGIE;1 PLACE SAMUEL DE CHAMPLAIN;COURBEVOIE;ILE-DE-FRANCE;FRANCE;92400;6433;24277870;2
263734187;Eramet;;N;10 Boulevard de Grenelle;;75015;Paris;Paris;France;6,32045E+13;00017;0033;Christel Bories;5093;Scrap and Waste Materials;1963;3158633000;3433342471;200;445;H;Exports;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;263734187;ERAMET;10 BOULEVARD DE GRENELLE;PARIS;ILE-DE-FRANCE;FRANCE;75015;263734187;ERAMET;10 BOULEVARD DE GRENELLE;PARIS;ILE-DE-FRANCE;75015;263734187;ERAMET;10 BOULEVARD DE GRENELLE;PARIS;ILE-DE-FRANCE;FRANCE;75015;52;15603308;1
267390956;Free Mobile;;N;16 Rue de la Ville L'Eveque;;75008;Paris;Paris;France;4,99247E+13;00017;0033;Nicolas Hubert Marie Thomas;4813;Telephone Communications, Except Radiotelephone;2007;3026327000;3289529686;5;5;H;Exports;3;Corporation;;Is a subsidiary;325378159;ILIAD;16 RUE DE LA VILLE L'EVEQUE;PARIS;ILE-DE-FRANCE;FRANCE;75008;325378159;ILIAD;16 RUE DE LA VILLE L'EVEQUE;PARIS;ILE-DE-FRANCE;75008;325378159;ILIAD;16 RUE DE LA VILLE L'EVEQUE;PARIS;ILE-DE-FRANCE;FRANCE;75008;499;4574474;2
285957712;Pacifica;;N;08-okt;8 Bd de Vaugirard;75724;Paris;Paris;France;3,52359E+13;00017;0033;Laure Lesme;6331;Fire, Marine, and Casualty Insurance;1989;2329557810;3175886162;500;500;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;261550946;CREDIT AGRICOLE ASSURANCES;16-18;PARIS;ILE-DE-FRANCE;FRANCE;75015;354303182;SAS RUE LA BOETIE;48 RUE LA BOETIE;PARIS;ILE-DE-FRANCE;75008;354303182;SAS RUE LA BOETIE;48 RUE LA BOETIE;PARIS;ILE-DE-FRANCE;FRANCE;75008;4249;32366852;4
285952228;Sodiaal Union;SODIAAL;N;200-216;200 Rue Raymond Losserand;75014;Paris;Paris;France;3,51573E+13;00017;0033;Jean-michel Javelle;5143;Dairy Products, Except Dried or Canned;1989;2892622015;3144196244;50;928;H;Exports;100;;Headquarter/Parent (branches and/or subsidiaries report to it);;285952228;SODIAAL UNION;200-216;PARIS;ILE-DE-FRANCE;FRANCE;75014;285952228;SODIAAL UNION;200-216;PARIS;ILE-DE-FRANCE;75014;285952228;SODIAAL UNION;200-216;PARIS;ILE-DE-FRANCE;FRANCE;75014;156;4453671;1
264767926;Union Invivo;;N;83 Avenue de la Grande Armee;;75016;Paris;Paris;France;7,7569E+13;00017;0033;Jerome Calleau;5169;Chemicals and Allied Products, Not Elsewhere Classified;1945;2909751000;3117323907;100;208;H;Exports;100;;Headquarter/Parent (branches and/or subsidiaries report to it);;264767926;UNION INVIVO;83 AVENUE DE LA GRANDE ARMEE;PARIS;ILE-DE-FRANCE;FRANCE;75016;264767926;UNION INVIVO;83 AVENUE DE LA GRANDE ARMEE;PARIS;ILE-DE-FRANCE;75016;264767926;UNION INVIVO;83 AVENUE DE LA GRANDE ARMEE;PARIS;ILE-DE-FRANCE;FRANCE;75016;130;13581841;1
261895485;Itm Alimentaire Sud Est;;N;24 Rue Auguste Chabrieres;;75015;Paris;Paris;France;4,52535E+13;00017;0033;David Burger;5199;Nondurable Goods, Not Elsewhere Classified;2004;2991146427;3106571776;47;47;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;285952161;ITM ALIMENTAIRE INTERNATIONAL;24 RUE AUGUSTE CHABRIERES;PARIS;ILE-DE-FRANCE;FRANCE;75015;258388241;LES MOUSQUETAIRES;24 RUE AUGUSTE CHABRIERES;PARIS;ILE-DE-FRANCE;75015;258388241;LES MOUSQUETAIRES;24 RUE AUGUSTE CHABRIERES;PARIS;ILE-DE-FRANCE;FRANCE;75015;759;5473867;5
286516933;France Televisions;;N;7 Esplanade Henri de France;;75015;Paris;Paris;France;4,32767E+13;00017;0033;Delphine Ernottecunci;4833;Television Broadcasting Stations;2000;2846401000;3093955341;2000;8825;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;256704126;AGENCE DES PARTICIPATIONS DE L'ETAT;TELEDOC 228;PARIS 12;ILE-DE-FRANCE;FRANCE;75012;256704126;AGENCE DES PARTICIPATIONS DE L'ETAT;TELEDOC 228;PARIS 12;ILE-DE-FRANCE;75012;256704126;AGENCE DES PARTICIPATIONS DE L'ETAT;TELEDOC 228;PARIS 12;ILE-DE-FRANCE;FRANCE;75012;30919;21164058;2
261897066;Itm Alimentaire Sud Ouest;;N;24 Rue Auguste Chabrieres;;75015;Paris;Paris;France;4,5254E+13;00017;0033;Arnaud Allain;5199;Nondurable Goods, Not Elsewhere Classified;2004;2794490921;3037530591;46;46;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;285952161;ITM ALIMENTAIRE INTERNATIONAL;24 RUE AUGUSTE CHABRIERES;PARIS;ILE-DE-FRANCE;FRANCE;75015;258388241;LES MOUSQUETAIRES;24 RUE AUGUSTE CHABRIERES;PARIS;ILE-DE-FRANCE;75015;258388241;LES MOUSQUETAIRES;24 RUE AUGUSTE CHABRIERES;PARIS;ILE-DE-FRANCE;FRANCE;75015;759;5473759;5
261894526;Itm Alimentaire Region Parisienne;;N;24 Rue Auguste Chabrieres;;75015;Paris;Paris;France;4,52533E+13;00017;0033;Mathieu Vignon;5199;Nondurable Goods, Not Elsewhere Classified;2004;2737746214;2975850740;50;50;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;285952161;ITM ALIMENTAIRE INTERNATIONAL;24 RUE AUGUSTE CHABRIERES;PARIS;ILE-DE-FRANCE;FRANCE;75015;258388241;LES MOUSQUETAIRES;24 RUE AUGUSTE CHABRIERES;PARIS;ILE-DE-FRANCE;75015;258388241;LES MOUSQUETAIRES;24 RUE AUGUSTE CHABRIERES;PARIS;ILE-DE-FRANCE;FRANCE;75015;759;5473683;5
258019360;Rexel France;Inoveha;N;13 Bd Du Fort de Vaux;;75017;Paris;Paris;France;3,09305E+13;00017;0033;Thomas Fran̤ois Moreau;5084;Industrial Machinery and Equipment;1975;2405533813;2844858859;200;2000;H;Exports;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;263997449;REXEL DEVELOPPEMENT SAS;13 BD DU FORT DE VAUX;PARIS 17;ILE-DE-FRANCE;FRANCE;75017;263887724;REXEL;13 BOULEVARD DU FORT DE VAUX;PARIS;ILE-DE-FRANCE;75017;263887724;REXEL;13 BOULEVARD DU FORT DE VAUX;PARIS;ILE-DE-FRANCE;FRANCE;75017;2430;14934848;3
285963261;Chanel Coordination;;N;12 Rue Duphot;;75001;Paris;Paris;France;3,93068E+13;00017;0033;Bruno Pavlovsky;5136;Men's and Boy's Clothing and Furnishings;1993;2587658912;2812710195;250;548;H;Exports;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);Is a subsidiary;263117250;CHANEL;135 AVENUE CHARLES DE GAULLE;NEUILLY-SUR-SEINE;ILE-DE-FRANCE;FRANCE;92200;263117250;CHANEL;135 AVENUE CHARLES DE GAULLE;NEUILLY-SUR-SEINE;ILE-DE-FRANCE;92200;480446862;Mousse Investments Limited;C/O  Maples Corporate Services Limited;GEORGE TOWN;GRAND CAYMAN;CAYMAN ISLANDS;KY11104;467;16994125;4
263952386;Bnp Paribas;HELLO BANK!;N;16 Boulevard Des Italiens;;75009;Paris;Paris;France;6,62042E+13;00017;0033;Jean Lemierre;6021;National Commercial Banks;1966;2590268821;2739230000;250;10000;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;263952386;BNP PARIBAS;16 BOULEVARD DES ITALIENS;PARIS;ILE-DE-FRANCE;FRANCE;75009;263952386;BNP PARIBAS;16 BOULEVARD DES ITALIENS;PARIS;ILE-DE-FRANCE;75009;263952386;BNP PARIBAS;16 BOULEVARD DES ITALIENS;PARIS;ILE-DE-FRANCE;FRANCE;75009;4985;8069838;1
263185815;Societe Generale;SG;N;29 Boulevard Haussmann;;75009;Paris;Paris;France;5,5212E+13;00017;0033;Lorenzo Bini Smaghi;6021;National Commercial Banks;2022;2590268821;2739230000;500;10000;G;Not available or none;3;Corporation;Headquarter/Parent (branches and/or subsidiaries report to it);;263185815;SOCIETE GENERALE;29 BOULEVARD HAUSSMANN;PARIS;ILE-DE-FRANCE;FRANCE;75009;263185815;SOCIETE GENERALE;29 BOULEVARD HAUSSMANN;PARIS;ILE-DE-FRANCE;75009;263185815;SOCIETE GENERALE;29 BOULEVARD HAUSSMANN;PARIS;ILE-DE-FRANCE;FRANCE;75009;4417;15942904;1
